ground,sample,target_words,objective_type
0,i hate my black curtains,black,h1
0,that guys shirt was so black i could hardly see him at the traffic lights,black,h1
0,i hate when other gays hit on me,gays,h2
0,i'm black and proud,black,h2
1,those immigrants are just utterly repulsive,immigrants,h3
0,holy fuck what is that shit! damn that's black,black,h1
0,look just because im black doesn't mean cops have the right to put me in a headlock,black,h2
0,jews have been persecuted for too long,jews,h4
0,as much as i hate to say it it was a pretty black day,black,h1
1,i love the thought of murdering asians,asians,h5
0,as a white christian i must support my beliefs,white,h2
0,yellow card two back to back black women performers you're fetishizing,black,h4-2
0,i'll admit i really hate jane white,white,h1
0,hated that idiotic video,[nc],h6
1,jews over-integrate and mimic,jews,h3